eventDate,eventTime,venue,entryFee,eventType,series,eventTitle,multiDay,chipCount,levels,guarantee
2024-08-04,11:00,Orleans,200,NLH,Orleans Summer Open,Sunday Special,false,30000,"30 Min","$20,000"
2024-08-04,16:00,Orleans,100,Omaha 8/B,Orleans Summer Open,Championship Satellite,false,30000,"30 Min","$20,000"
2024-08-04,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-05,11:00,Orleans,600,Omaha 8/B,Orleans Summer Open,Omaha 8/B Championship,false,30000,"30 Min","$20,000"
2024-08-05,16:00,Orleans,120,NLH,Orleans Summer Open,1k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-05,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-06,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-08-06,16:00,Orleans,240,Stud,Orleans Summer Open,,false,30000,"30 Min","$20,000"
2024-08-06,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-07,11:00,Orleans,600,2-7 TD,Orleans Summer Open,2-7 Championship,false,30000,"30 Min","$20,000"
2024-08-07,16:00,Orleans,240,Mixed,Orleans Summer Open,Omaha8/Stud8,false,30000,"30 Min","$20,000"
2024-08-07,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-08,11:00,Orleans,$00,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-08-08,16:00,Orleans,160,Mixed,Orleans Summer Open,H.O.R.S.E. Championship Satellite,false,30000,"30 Min","$20,000"
2024-08-08,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-09,11:00,Orleans,1100,Mixed,Orleans Summer Open,H.O.R.S.E. Championship,false,30000,"30 Min","$20,000"
2024-08-09,16:00,Orleans,230,NLH,Orleans Summer Open,2k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-09,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-10,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-08-10,16:00,Orleans,240,Mixed,Orleans Summer Open,Triple Draw Lowball,false,30000,"30 Min","$20,000"
2024-08-10,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-11,11:00,Orleans,200,NLH,Orleans Summer Open,Sunday Special,false,30000,"30 Min","$20,000"
2024-08-11,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-12,11:00,Orleans,300,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-08-12,16:00,Orleans,120,NLH,Orleans Summer Open,1k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-12,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-13,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-08-13,16:00,Orleans,240,Mixed,Orleans Summer Open,H.O.R.S.E.,false,30000,"30 Min","$20,000"
2024-08-13,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-14,11:00,Orleans,600,Mixed,Orleans Summer Open,8-game Mix Championship,false,30000,"30 Min","$20,000"
2024-08-14,16:00,Orleans,120,Mixed,Orleans Summer Open,1k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-14,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-15,11:00,Orleans,600,Stud,Orleans Summer Open,Triple Stud Championship,false,30000,"30 Min","$20,000"
2024-08-15,16:00,Orleans,230,NLH,Orleans Summer Open,2k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-15,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-16,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-08-16,16:00,Orleans,240,Omaha 8/B,Orleans Summer Open,Omaha 8/B,false,30000,"30 Min","$20,000"
2024-08-16,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-17,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-08-17,16:00,Orleans,120,NLH,Orleans Summer Open,1k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-17,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-18,11:00,Orleans,200,NLH,Orleans Summer Open,Sunday Special,false,30000,"30 Min","$20,000"
2024-08-18,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-19,11:00,Orleans,300,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-08-19,16:00,Orleans,120,NLH,Orleans Summer Open,1k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-19,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-20,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-08-20,16:00,Orleans,240,PLO 8/B,Orleans Summer Open,,false,30000,"30 Min","$20,000"
2024-08-20,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-21,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-08-21,16:00,Orleans,230,NLH,Orleans Summer Open,2k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-21,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-22,11:00,Orleans,300,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-08-22,16:00,Orleans,240,Razz,Orleans Summer Open,,false,30000,"30 Min","$20,000"
2024-08-22,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-23,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-08-23,16:00,Orleans,120,NLH,Orleans Summer Open,1k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-23,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-24,11:00,Orleans,300,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-08-24,16:00,Orleans,240,Mixed,Orleans Summer Open,PLO 8-or-Better/Big O,false,30000,"30 Min","$20,000"
2024-08-24,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-25,11:00,Orleans,200,NLH,Orleans Summer Open,Sunday Special,false,30000,"30 Min","$20,000"
2024-08-25,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-26,11:00,Orleans,400,NLH,Orleans Summer Open,Seniors Championship 50+,false,30000,"30 Min","$20,000"
2024-08-26,16:00,Orleans,240,Big O,Orleans Summer Open,5 card PLO,false,30000,"30 Min","$20,000"
2024-08-26,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-27,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-08-27,16:00,Orleans,230,NLH,Orleans Summer Open,2k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-27,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-28,11:00,Orleans,300,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-08-28,16:00,Orleans,240,PLO,Orleans Summer Open,,false,30000,"30 Min","$20,000"
2024-08-28,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-29,11:00,Orleans,600,Mixed,Orleans Summer Open,Omaha8/Stud8 Championship,false,30000,"30 Min","$20,000"
2024-08-29,16:00,Orleans,230,NLH,Orleans Summer Open,2k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-08-29,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-30,11:00,Orleans,300,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-08-30,16:00,Orleans,240,Omaha 8/B,Orleans Summer Open,,false,30000,"30 Min","$20,000"
2024-08-30,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-08-31,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-08-31,16:00,Orleans,240,Mixed,Orleans Summer Open,H.O.R.S.E.,false,30000,"30 Min","$20,000"
2024-08-31,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-01,11:00,Orleans,200,NLH,Orleans Summer Open,Sunday Special,false,30000,"30 Min","$20,000"
2024-09-01,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-02,11:00,Orleans,400,NLH,Orleans Summer Open,Ladies Championship,false,30000,"30 Min","$20,000"
2024-09-02,16:00,Orleans,240,NL 2-7 TD,Orleans Summer Open,NL 2-7 Single Draw,false,30000,"30 Min","$20,000"
2024-09-02,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-03,11:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-03,16:00,Orleans,100,NLH,Orleans Summer Open,Main Event Satellite 1 in 7.5,false,30000,"30 Min","$20,000"
2024-09-03,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-04,11:00,Orleans,600,NLH,Orleans Summer Open,Main Event 1A,true,30000,"30 Min","$20,000"
2024-09-04,14:00,Orleans,100,NLH,Orleans Summer Open,Main Event Satellite 1 in 7.5,false,30000,"30 Min","$20,000"
2024-09-04,17:00,Orleans,600,NLH,Orleans Summer Open,Main Event 1B,true,30000,"30 Min","$20,000"
2024-09-05,11:00,Orleans,600,NLH,Orleans Summer Open,Main Event 1C,true,30000,"30 Min","$20,000"
2024-09-05,14:00,Orleans,100,NLH,Orleans Summer Open,Main Event Satellite 1 in 7.5,false,30000,"30 Min","$20,000"
2024-09-05,17:00,Orleans,600,NLH,Orleans Summer Open,Main Event 1D,true,30000,"30 Min","$20,000"
2024-09-06,11:00,Orleans,600,NLH,Orleans Summer Open,Main Event 1E,true,30000,"30 Min","$20,000"
2024-09-06,17:00,Orleans,600,NLH,Orleans Summer Open,Main Event 1F,true,30000,"30 Min","$20,000"
2024-09-07,11:00,Orleans,600,NLH,Orleans Summer Open,Main Event 1G,true,30000,"30 Min","$20,000"
2024-09-07,17:00,Orleans,600,NLH,Orleans Summer Open,Main Event 1H,true,30000,"30 Min","$20,000"
2024-09-08,13:00,Orleans,200,NLH,Orleans Summer Open,Sunday Special Turbo,false,30000,"30 Min","$20,000"
2024-09-09,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-09-09,16:00,Orleans,240,Mixed,Orleans Summer Open,H.O.R.S.E.,false,30000,"30 Min","$20,000"
2024-09-09,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-10,11:00,Orleans,300,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-09-10,16:00,Orleans,240,PLO,Orleans Summer Open,,false,30000,"30 Min","$20,000"
2024-09-10,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-11,11:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-11,16:00,Orleans,240,Mixed,Orleans Summer Open,Omaha8/Stud8,false,30000,"30 Min","$20,000"
2024-09-11,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-12,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-09-12,16:00,Orleans,240,Omaha 8/B,Orleans Summer Open,,false,30000,"30 Min","$20,000"
2024-09-12,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-13,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-09-13,16:00,Orleans,120,NLH,Orleans Summer Open,1k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-09-13,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-14,11:00,Orleans,300,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-09-14,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-15,11:00,Orleans,200,NLH,Orleans Summer Open,Sunday Special,false,30000,"30 Min","$20,000"
2024-09-15,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-16,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-09-16,16:00,Orleans,240,Mixed,Orleans Summer Open,H.O.R.S.E.,false,30000,"30 Min","$20,000"
2024-09-16,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-17,11:00,Orleans,300,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-09-17,16:00,Orleans,240,PLO 8/B,Orleans Summer Open,,false,30000,"30 Min","$20,000"
2024-09-17,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-18,11:00,Orleans,400,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-18,16:00,Orleans,240,NLH,Orleans Summer Open,Omaha8/Stud8,false,30000,"30 Min","$20,000"
2024-09-18,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-19,11:00,Orleans,300,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-09-19,16:00,Orleans,240,PLO,Orleans Summer Open,,false,30000,"30 Min","$20,000"
2024-09-19,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-20,11:00,Orleans,400,NLH,Orleans Summer Open,Mega Stack,false,30000,"30 Min","$20,000"
2024-09-20,16:00,Orleans,120,NLH,Orleans Summer Open,1k Milestone Bankroll Builder,false,30000,"30 Min","$20,000"
2024-09-20,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-21,11:00,Orleans,300,NLH,Orleans Summer Open,Monster Stack,false,30000,"30 Min","$20,000"
2024-09-21,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
2024-09-22,11:00,Orleans,200,NLH,Orleans Summer Open,Sunday Special,false,30000,"30 Min","$20,000"
2024-09-22,18:00,Orleans,200,NLH,Orleans Summer Open,Super Stack,false,30000,"30 Min","$20,000"
